Datum Tid (UTC) Lufttemperatur Kvalitet
1952 05 04 10.3 Y
1952 05 05 11.875 Y
1952 05 06 9.975 Y
1952 05 07 7.15 Y
1952 05 08 6.875 Y
1952 05 09 9.2 Y
1952 05 10 11.9 Y
1952 05 11 11.4 Y
1952 05 12 11.975 Y
1952 05 13 8.975 Y
1952 05 14 5.8 Y
1952 05 15 4.975 Y
1952 05 16 5.95 Y
1952 05 17 6.93333 Y
1952 05 18 6 Y
1952 05 19 3.06667 Y
1952 05 20 6.46667 Y
1952 05 21 6.33333 Y
1952 05 22 8.56667 Y
1952 05 23 8.83333 Y
1952 05 24 7.05 Y
1952 05 25 10.7 Y
1952 05 26 9.35 Y
1952 05 27 7.95 Y
1952 05 28 10.575 Y
1952 05 29 9.625 Y
1952 05 30 8.675 Y
1952 05 31 10 Y
1952 06 01 11.625 Y
1952 06 02 13.4 Y
1952 06 03 14.125 Y
1952 06 04 10.8 Y
1952 06 05 12.6 Y
1952 06 06 15 Y
1952 06 07 13.2 Y
1952 06 08 11.25 Y
1952 06 09 10.7 Y
1952 06 10 10.425 Y
1952 06 11 11.45 Y
1952 06 12 14.9 Y
1952 06 13 12.45 Y
1952 06 14 13.35 Y
1952 06 15 13.475 Y
1952 06 16 12.225 Y
1952 06 17 12.425 Y
1952 06 18 14.95 Y
1952 06 19 14.7 Y
1952 06 20 13.075 Y
1952 06 21 12.775 Y
1952 06 22 12.275 Y
1952 06 23 10.325 Y
1952 06 24 12.95 Y
1952 06 25 13.15 Y
1952 06 26 11.975 Y
1952 06 27 14.5 Y
1952 06 28 15.35 Y
1952 06 29 17.525 Y
1952 06 30 18.35 Y
1952 07 01 17.675 Y
1952 07 02 19.125 Y
1952 07 03 20.1 Y
1952 07 04 18 Y
1952 07 05 14.95 Y
1952 07 06 15.4 Y
1952 07 07 15.775 Y
1952 07 08 16.5 Y
1952 07 09 18 Y
1952 07 10 16.675 Y
1952 07 11 20.1 Y
1952 07 12 20.875 Y
1952 07 13 15.975 Y
1952 07 14 16.25 Y
1952 07 15 15.875 Y
1952 07 16 15.3 Y
1952 07 17 13.4 Y
1952 07 18 14.675 Y
1952 07 19 13.625 Y
1952 07 20 15.825 Y
1952 07 21 15.05 Y
1952 07 22 14.325 Y
1952 07 23 14.1 Y
1952 07 24 14.475 Y
1952 07 25 15.475 Y
1952 07 26 14.675 Y
1952 07 27 14.8 Y
1952 07 28 14.2 Y
1952 07 29 17.2 Y
1952 07 30 15.55 Y
1952 07 31 15.925 Y
1952 08 01 16.625 Y
1952 08 02 14.425 Y
1952 08 03 19.425 Y
1952 08 04 18.875 Y
1952 08 05 17.95 Y
1952 08 06 18.75 Y
1952 08 07 16.55 Y
1952 08 08 15.15 Y
1952 08 09 15.8 Y
1952 08 10 15.65 Y
1952 08 11 16.775 Y
1952 08 12 16.6 Y
1952 08 13 18.325 Y
1952 08 14 17.575 Y
1952 08 15 16.975 Y
1952 08 16 15.875 Y
1952 08 17 13.675 Y
1952 08 18 13.1 Y
1952 08 19 13.025 Y
1952 08 20 13.7 Y
1952 08 21 13.225 Y
1952 08 22 14.825 Y
1952 08 23 14.225 Y
1952 08 24 15.275 Y
1952 08 25 14.025 Y
1952 08 26 13.45 Y
1952 08 27 12.2 Y
1952 08 28 14.1 Y
1952 08 29 12.85 Y
1952 08 30 12.75 Y
1952 08 31 11.85 Y
1952 09 01 15.575 Y
1952 09 02 14.5 Y
1952 09 03 12.775 Y
1952 09 04 10.95 Y
1952 09 05 12.025 Y
1952 09 06 10.625 Y
1952 09 07 10.425 Y
1952 09 08 9.4 Y
1952 09 09 11.575 Y
1952 09 10 11 Y
1952 09 11 10.775 Y
1952 09 12 10.4 Y
1952 09 13 9.26667 Y
1952 09 14 9.7 Y
1952 09 15 8.66667 Y
1952 09 16 9.475 Y
1952 09 17 11.825 Y
1952 09 18 10.9 Y
1952 09 19 9.25 Y
1952 09 20 8 Y
1952 09 21 7.625 Y
1952 09 22 8.425 Y
1952 09 23 6.875 Y
1952 09 24 6.425 Y
1952 09 25 10.15 Y
1952 09 26 10.75 Y
1952 09 27 10.9 Y
1952 09 28 9.725 Y
1952 09 29 8.85 Y
1952 09 30 5.3 Y
1952 10 01 7.575 Y
1952 10 02 8.1 Y
1952 10 03 8.5 Y
1952 10 04 7.575 Y
1952 10 05 6.65 Y
1952 10 06 6.325 Y
1952 10 07 7.45 Y
1952 10 08 5.075 Y
1952 10 09 6.975 Y
1952 10 10 7.65 Y
1952 10 11 5.45 Y
1952 10 12 4.425 Y
1952 10 13 4.63333 Y
1952 10 14 5.375 Y
1952 10 15 5.85 Y
1952 10 16 6.95 Y
1952 10 17 5.55 Y
1952 10 18 3.275 Y
1952 10 19 4.275 Y
1952 10 20 4.2 Y
1952 10 21 3.125 Y
1952 10 22 4.53333 Y
1952 10 23 4.73333 Y
1952 10 24 4.525 Y
1952 10 25 6.525 Y
1952 10 26 7.425 Y
1952 10 27 5.875 Y
1952 10 28 6.375 Y
1952 10 29 9.475 Y
1952 10 30 8.325 Y
1952 10 31 4.875 Y
1952 11 01 4.46667 Y
1952 11 02 3.125 Y
1952 11 03 -0.0333333 Y
1952 11 04 0.9 Y
1952 11 05 6.33333 Y
1952 11 06 3.525 Y
1952 11 07 1.33333 Y
1952 11 08 -0.0333333 Y
1952 11 09 2.1 Y
1952 11 10 -0.4 Y
1952 11 11 2.73333 Y
1952 11 12 3.06667 Y
1952 11 13 2.86667 Y
1952 11 14 2.5 Y
1952 11 15 2.26667 Y
1952 11 16 0.766667 Y
1952 11 17 1.36667 Y
1952 11 18 1.03333 Y
1952 11 19 2.7 Y
1952 11 20 2.86667 Y
1952 11 21 2.56667 Y
1952 11 22 2.85 Y
1952 11 23 4.06667 Y
1952 11 24 2.6 Y
1952 11 25 0.666667 Y
1952 11 26 -3.26667 Y
1952 11 27 0.566667 Y
1952 11 28 -1.53333 Y
1952 11 29 0.166667 Y
1952 11 30 0.133333 Y
1952 12 01 -0.866667 Y
1952 12 02 0.7 Y
1952 12 03 0.333333 Y
1952 12 04 0.333333 Y
1952 12 05 -1.13333 Y
1952 12 06 2.06667 Y
1952 12 07 0.366667 Y
1952 12 08 2.06667 Y
1952 12 09 -0.533333 Y
1952 12 10 2.86667 Y
1952 12 11 1.76667 Y
1952 12 12 2.9 Y
1952 12 13 2.43333 Y
1952 12 14 0.533333 Y
1952 12 15 -1.6 Y
1952 12 16 -2.06667 Y
1952 12 17 -0.6 Y
1952 12 18 0.0666667 Y
1952 12 19 -0.933333 Y
1952 12 20 -0.966667 Y
1952 12 21 0.133333 Y
1952 12 22 0.6 Y
1952 12 23 0.4 Y
1952 12 24 0.5 Y
1952 12 25 2.1 Y
1952 12 26 2.73333 Y
1952 12 27 1.13333 Y
1952 12 28 -0.0666667 Y
1952 12 29 -0.7 Y
1952 12 30 0.2 Y
1952 12 31 -0.966667 Y
1953 01 01 -0.233333 Y
1953 01 02 -1.86667 Y
1953 01 03 -0.966667 Y
1953 01 04 -2.2 Y
1953 01 05 -5.9 Y
1953 01 06 0.0666667 Y
1953 01 07 -0.666667 Y
1953 01 08 -3.23333 Y
1953 01 09 -0.333333 Y
1953 01 10 -1.5 Y
1953 01 11 -3.33333 Y
1953 01 12 0.166667 Y
1953 01 13 1.5 Y
1953 01 14 1.33333 Y
1953 01 15 0.233333 Y
1953 01 16 1.46667 Y
1953 01 17 1 Y
1953 01 18 2.63333 Y
1953 01 19 -0.2 Y
1953 01 20 0.866667 Y
1953 01 21 1.9 Y
1953 01 22 -1.6 Y
1953 01 23 -2.13333 Y
1953 01 24 -1.73333 Y
1953 01 25 -3.73333 Y
1953 01 26 -1.96667 Y
1953 01 27 1.13333 Y
1953 01 28 2.16667 Y
1953 01 29 1.46667 Y
1953 01 30 0.366667 Y
1953 01 31 2.5 Y
1953 02 01 2 Y
1953 02 02 -0.1 Y
1953 02 03 -2.8 Y
1953 02 04 -1.2 Y
1953 02 05 -5.3 Y
1953 02 06 -7.83333 Y
1953 02 07 -9.13333 Y
1953 02 08 -10.5667 Y
1953 02 09 -8.2 Y
1953 02 10 -7.2 Y
1953 02 11 -4.73333 Y
1953 02 12 -5.9 Y
1953 02 13 -4.6 Y
1953 02 14 -5.43333 Y
1953 02 15 -4.3 Y
1953 02 16 -1.8 Y
1953 02 17 1.53333 Y
1953 02 18 1.13333 Y
1953 02 19 2.05 Y
1953 02 20 -1.46667 Y
1953 02 21 3.16667 Y
1953 02 22 1.46667 Y
1953 02 23 -0.2 Y
1953 02 24 -0.0333333 Y
1953 02 25 0.633333 Y
1953 02 26 3.9 Y
1953 02 27 4.125 Y
1953 02 28 0.8 Y
1953 03 01 3.4 Y
1953 03 02 3 Y
1953 03 03 1.63333 Y
1953 03 04 0.0666666 Y
1953 03 05 0.0666666 Y
1953 03 06 1.86667 Y
1953 03 07 1.66667 Y
1953 03 08 0.1 Y
1953 03 09 2.73333 Y
1953 03 10 0.233333 Y
1953 03 11 0.1 Y
1953 03 12 -3.06667 Y
1953 03 13 -0.1 Y
1953 03 14 1.6 Y
1953 03 15 2.16667 Y
1953 03 16 0.566667 Y
1953 03 17 3.73333 Y
1953 03 18 0.133333 Y
1953 03 19 1.53333 Y
1953 03 20 2.13333 Y
1953 03 21 3.9 Y
1953 03 22 4.65 Y
1953 03 23 3.75 Y
1953 03 24 5.83333 Y
1953 03 25 6.175 Y
1953 03 26 8.875 Y
1953 03 27 4.15 Y
1953 03 28 2.56667 Y
1953 03 29 5.96667 Y
1953 03 30 5.4 Y
1953 03 31 2.6 Y
1953 04 01 -0.2 Y
1953 04 02 6.76667 Y
