Datum Tid (UTC) Lufttemperatur Kvalitet
1961 12 01 4.46667 G
1961 12 02 2.46667 G
1961 12 03 3.86667 G
1961 12 04 2.53333 G
1961 12 05 8 G
1961 12 06 2.96667 G
1961 12 07 3.06667 G
1961 12 08 1.7 G
1961 12 09 0.766667 G
1961 12 10 1.36667 G
1961 12 11 4.53333 G
1961 12 12 2.06667 G
1961 12 13 -0.5 G
1961 12 14 -0.2 G
1961 12 15 -6 G
1961 12 16 -1.46667 G
1961 12 17 -4.7 G
1961 12 18 -1.16667 G
1961 12 19 1.86667 G
1961 12 20 2.46667 G
1961 12 21 -0.666667 G
1961 12 22 -5.73333 G
1961 12 23 -8.4 G
1961 12 24 -1.4 G
1961 12 25 -0.6 G
1961 12 26 -3.76667 G
1961 12 27 -9.86667 G
1961 12 28 -6.86667 G
1961 12 29 -3.53333 G
1961 12 30 1.43333 G
1961 12 31 2.93333 G
1962 01 01 0.133333 G
1962 01 02 -4.4 G
1962 01 03 -0.0333333 G
1962 01 04 0.933333 G
1962 01 05 1.33333 G
1962 01 06 2.8 G
1962 01 07 0.1 G
1962 01 08 2.4 G
1962 01 09 2.33333 G
1962 01 10 2.4 G
1962 01 11 3.83333 G
1962 01 12 4.06667 G
1962 01 13 2.06667 G
1962 01 14 2.6 G
1962 01 15 1.73333 G
1962 01 16 2.46667 G
1962 01 17 4.43333 G
1962 01 18 5.6 G
1962 01 19 3.33333 G
1962 01 20 5 G
1962 01 21 3.33333 G
1962 01 22 5.33333 G
1962 01 23 3.1 G
1962 01 24 3.43333 G
1962 01 25 2.4 G
1962 01 26 0.5 G
1962 01 27 3 G
1962 01 28 -5 G
1962 01 29 -6.03333 G
1962 01 30 -3.63333 G
1962 01 31 -2.66667 G
1962 02 01 -2.4 G
1962 02 02 -0.0666667 G
1962 02 03 0.366667 G
1962 02 04 2.16667 G
1962 02 05 1.8 G
1962 02 06 3.3 G
1962 02 07 3.7 G
1962 02 08 3.26667 G
1962 02 09 1.66667 G
1962 02 10 3.53333 G
1962 02 11 2.73333 G
1962 02 12 3.13333 G
1962 02 13 0.966667 G
1962 02 14 -2.4 G
1962 02 15 -4.46667 G
1962 02 16 2.33333 G
1962 02 17 2.1 G
1962 02 18 0.933333 G
1962 02 19 4.26667 G
1962 02 20 4.56667 G
1962 02 21 1.06667 G
1962 02 22 -1.56667 G
1962 02 23 -1.86667 G
1962 02 24 -0.933333 G
1962 02 25 -3.16667 G
1962 02 26 -1.46667 G
1962 02 27 -2.46667 G
1962 02 28 -2.46667 G
1962 03 01 -4.03333 G
1962 03 02 -1.5 G
1962 03 03 -1.1 G
1962 03 04 -1.2 G
1962 03 05 -3.6 G
1962 03 06 -2.6 G
1962 03 07 -0.766667 G
1962 03 08 1.36667 G
1962 03 09 0.566667 G
1962 03 10 2.13333 G
1962 03 11 1.46667 G
1962 03 12 -3.26667 G
1962 03 13 -4.8 G
1962 03 14 -2.5 G
1962 03 15 -1.4 G
1962 03 16 -0.533333 G
1962 03 17 -1.4 G
1962 03 18 0.233333 G
1962 03 19 0.733333 G
1962 03 20 -0.3 G
1962 03 21 0.266667 G
1962 03 22 0.2 G
1962 03 23 0.333333 G
1962 03 24 -2.98023e-08 G
1962 03 25 1.9 G
1962 03 26 2.4 G
1962 03 27 1.46667 G
1962 03 28 0.966667 G
1962 03 29 0.433333 G
1962 03 30 1.76667 G
1962 03 31 5.33333 G
1962 04 01 2.53333 G
1962 04 02 4.66667 G
1962 04 03 5.83333 G
1962 04 04 6.23333 G
1962 04 05 5.46667 G
1962 04 06 3.7 G
1962 04 07 4.3 G
1962 04 08 5.03333 G
1962 04 09 4.96667 G
1962 04 10 4.63333 G
1962 04 11 6.6 G
1962 04 12 8.1 G
1962 04 13 5.76667 G
1962 04 14 5.13333 G
1962 04 15 5.63333 G
1962 04 16 6.96667 G
1962 04 17 8.03333 G
1962 04 18 12.4667 G
1962 04 19 11.0667 G
1962 04 20 9.8 G
1962 04 21 8.8 G
1962 04 22 9.83333 G
1962 04 23 7.2 G
1962 04 24 9.9 G
1962 04 25 13.9333 G
1962 04 26 10.0667 G
1962 04 27 9.4 G
1962 04 28 8.06667 G
1962 04 29 4.86667 G
1962 04 30 4.66667 G
1962 05 01 6.13333 G
1962 05 02 5.73333 G
1962 05 03 5.9 G
1962 05 04 4.3 G
1962 05 05 7.7 G
1962 05 06 9.83333 G
1962 05 07 11 G
1962 05 08 11.6333 G
1962 05 09 11.8333 G
1962 05 10 9.06667 G
1962 05 11 9.8 G
1962 05 12 6.43333 G
1962 05 13 9.46667 G
1962 05 14 10.5 G
1962 05 15 11.7 G
1962 05 16 10.4 G
1962 05 17 10.5333 G
1962 05 18 9.1 G
1962 05 19 11 G
1962 05 20 10.3333 G
1962 05 21 11.4667 G
1962 05 22 11.3667 G
1962 05 23 11.7 G
1962 05 24 10.8333 G
1962 05 25 11.7333 G
1962 05 26 12.6 G
1962 05 27 8.06667 G
1962 05 28 13 G
1962 05 29 13.3667 G
1962 05 30 9.2 G
1962 05 31 7 G
1962 06 01 8.83333 G
1962 06 02 7.26667 G
1962 06 03 11.7333 G
1962 06 04 13 G
1962 06 05 13.3667 G
1962 06 06 14.2667 G
1962 06 07 17.7 G
1962 06 08 17.7333 G
1962 06 09 16.8667 G
1962 06 10 16.2333 G
1962 06 11 12.0333 G
1962 06 12 14.1667 G
1962 06 13 15.3667 G
1962 06 14 18.6 G
1962 06 15 21.8 G
1962 06 16 17.3333 G
1962 06 17 15.8333 G
1962 06 18 16.5 G
1962 06 19 18.7 G
1962 06 20 15.8 G
1962 06 21 17.1333 G
1962 06 22 18.1333 G
1962 06 23 16.1333 G
1962 06 24 14.4 G
1962 06 25 12.1333 G
1962 06 26 11.6333 G
1962 06 27 13.7667 G
1962 06 28 11.3333 G
1962 06 29 15.5667 G
1962 06 30 15.7333 G
1962 07 01 17.8 G
1962 07 02 12.8 G
1962 07 03 12.3667 G
1962 07 04 11.6667 G
1962 07 05 13.8 G
1962 07 06 13.4667 G
1962 07 07 12.9667 G
1962 07 08 15.2667 G
1962 07 09 16.1667 G
1962 07 10 17.5667 G
1962 07 11 17.2667 G
1962 07 12 16.6667 G
1962 07 13 17 G
1962 07 14 16.1333 G
1962 07 15 15.3333 G
1962 07 16 16 G
1962 07 17 16.0667 G
1962 07 18 18.4667 G
1962 07 19 19.8667 G
1962 07 20 17.3667 G
